DISEASE,MMWR_YEAR,MMWR_WEEK,CURRENT_WEEK,YTD_CASES,AVERAGE_5Y
Viral hemorrhagic fever,2014,1,NA,NA,0
Yellow fever,2014,1,NA,NA,NA
Anthrax,2014,2,NA,NA,NA
"Arboviral diseases, California serogroup virus disease,",2014,2,NA,NA,NA
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,2,NA,NA,0
"Arboviral diseases, Powassan virus disease,",2014,2,NA,NA,0
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,2,NA,NA,NA
"Arboviral diseases, Western equine encephalitis virus disease,",2014,2,NA,NA,NA
"Botulism, total",2014,2,NA,1,2
"Botulism, foodborne",2014,2,NA,NA,0
"Botulism, infant",2014,2,NA,NA,2
"Botulism, other (wound and unspecified)",2014,2,NA,1,0
Brucellosis,2014,2,NA,NA,2
Chancroid,2014,2,NA,NA,0
Cholera,2014,2,NA,NA,1
Cyclosporiasis,2014,2,NA,NA,3
Diphtheria,2014,2,NA,NA,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,2,NA,NA,0
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,2,2,2,5
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,2,5,11,6
Hansen disease,2014,2,NA,NA,2
Hantavirus pulmonary syndrome,2014,2,NA,NA,0
"Hemolytic uremic syndrome, postdiarrheal",2014,2,1,1,4
"Hepatitis B, virus infection perinatal",2014,2,NA,NA,2
"Influenza-associated pediatric mortality,",2014,2,10,11,3
Leptospirosis,2014,2,NA,NA,0
Listeriosis,2014,2,10,15,14
Measles,2014,2,NA,1,2
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,2,1,3,5
"Meningococcal disease, invasive, serogroup B",2014,2,NA,1,3
"Meningococcal disease, invasive, other serogroup",2014,2,NA,NA,0
"Meningococcal disease, invasive, unknown serogroup",2014,2,3,11,10
Novel influenza A virus infections***,2014,2,NA,NA,32
Plague,2014,2,NA,NA,NA
"Poliomyelitis, paralytic",2014,2,NA,NA,0
"Polio virus Infection, nonparalytic",2014,2,NA,NA,NA
Psittacosis,2014,2,NA,NA,0
"Q fever, total",2014,2,NA,NA,3
"Q fever, acute",2014,2,NA,NA,2
"Q fever, chronic",2014,2,NA,NA,1
"Rabies, human",2014,2,NA,NA,0
Rubella,2014,2,NA,1,0
"Rubella, congenital syndrome",2014,2,NA,NA,NA
SARS-CoV,2014,2,NA,NA,NA
Smallpox,2014,2,NA,NA,NA
Streptococcal toxic-shock syndrome,2014,2,NA,3,4
"Syphilis, congenital (age <1 yr)",2014,2,NA,NA,7
Tetanus,2014,2,NA,1,1
Toxic-shock syndrome (staphylococcal),2014,2,NA,1,2
Trichinellosis,2014,2,NA,NA,0
Tularemia,2014,2,NA,NA,1
Typhoid fever,2014,2,1,2,9
Vancomycin-intermediate Staphylococcus aureus,2014,2,1,2,2
Vancomycin-resistant Staphylococcus aureus,2014,2,NA,NA,0
Vibriosis (noncholera Vibrio species infections),2014,2,2,2,10
Viral hemorrhagic fever,2014,2,NA,NA,0
Yellow fever,2014,2,NA,NA,NA
Anthrax,2014,3,NA,NA,NA
"Arboviral diseases, California serogroup virus disease,",2014,3,NA,NA,NA
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,3,NA,NA,0
"Arboviral diseases, Powassan virus disease,",2014,3,NA,NA,0
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,3,NA,NA,NA
"Arboviral diseases, Western equine encephalitis virus disease,",2014,3,NA,NA,NA
"Botulism, total",2014,3,NA,2,2
"Botulism, foodborne",2014,3,NA,NA,0
"Botulism, infant",2014,3,NA,1,1
"Botulism, other (wound and unspecified)",2014,3,NA,1,0
Brucellosis,2014,3,1,1,1
Chancroid,2014,3,NA,NA,0
Smallpox,2014,14,NA,NA,NA
Cholera,2014,3,NA,NA,1
Cyclosporiasis,2014,3,NA,NA,3
Diphtheria,2014,3,NA,NA,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,3,NA,NA,1
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,3,NA,3,5
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,3,3,18,5
Hansen disease,2014,3,NA,NA,2
Hantavirus pulmonary syndrome,2014,3,NA,NA,0
"Hemolytic uremic syndrome, postdiarrheal",2014,3,NA,1,2
"Hepatitis B, virus infection perinatal",2014,3,NA,NA,1
"Influenza-associated pediatric mortality,",2014,3,8,19,4
Leptospirosis,2014,3,NA,NA,NA
Listeriosis,2014,3,4,23,11
Measles,2014,3,4,6,2
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,3,NA,6,4
"Meningococcal disease, invasive, serogroup B",2014,3,NA,1,2
"Meningococcal disease, invasive, other serogroup",2014,3,NA,NA,0
"Meningococcal disease, invasive, unknown serogroup",2014,3,2,11,9
Novel influenza A virus infections***,2014,3,NA,NA,25
Plague,2014,3,NA,NA,NA
"Poliomyelitis, paralytic",2014,3,NA,NA,NA
"Polio virus Infection, nonparalytic",2014,3,NA,NA,NA
Psittacosis,2014,3,NA,NA,0
"Q fever, total",2014,3,NA,1,1
"Q fever, acute",2014,3,NA,1,1
"Q fever, chronic",2014,3,NA,NA,0
"Rabies, human",2014,3,NA,NA,NA
Rubella,2014,3,NA,1,0
"Rubella, congenital syndrome",2014,3,NA,NA,0
SARS-CoV,2014,3,NA,NA,NA
Smallpox,2014,3,NA,NA,NA
Streptococcal toxic-shock syndrome,2014,3,1,4,3
"Syphilis, congenital (age <1 yr)",2014,3,NA,1,7
Tetanus,2014,3,1,1,0
Toxic-shock syndrome (staphylococcal),2014,3,NA,1,2
Trichinellosis,2014,3,NA,NA,0
Tularemia,2014,3,NA,NA,0
Typhoid fever,2014,3,NA,2,8
Vancomycin-intermediate Staphylococcus aureus,2014,3,NA,3,1
Vancomycin-resistant Staphylococcus aureus,2014,3,NA,NA,NA
"Q fever, chronic",2014,4,NA,NA,0
Vibriosis (noncholera Vibrio species infections),2014,3,4,7,7
Viral hemorrhagic fever,2014,3,NA,NA,0
Yellow fever,2014,3,NA,NA,NA
Anthrax,2014,4,NA,NA,NA
"Arboviral diseases, California serogroup virus disease,",2014,4,NA,NA,0
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,4,NA,NA,0
"Arboviral diseases, Powassan virus disease,",2014,4,NA,NA,NA
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,4,NA,NA,NA
"Arboviral diseases, Western equine encephalitis virus disease,",2014,4,NA,NA,NA
"Botulism, total",2014,4,NA,5,2
"Botulism, foodborne",2014,4,NA,NA,0
"Botulism, infant",2014,4,NA,3,1
"Botulism, other (wound and unspecified)",2014,4,NA,2,0
Brucellosis,2014,4,2,5,1
Chancroid,2014,4,NA,NA,0
Cholera,2014,4,NA,NA,1
Cyclosporiasis,2014,4,NA,NA,2
Diphtheria,2014,4,NA,NA,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,4,NA,1,0
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,4,2,10,5
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,4,NA,18,5
Hansen disease,2014,4,NA,NA,2
Hantavirus pulmonary syndrome,2014,4,NA,NA,0
"Hemolytic uremic syndrome, postdiarrheal",2014,4,1,2,2
"Hepatitis B, virus infection perinatal",2014,4,2,2,1
"Influenza-associated pediatric mortality,",2014,4,9,28,4
Leptospirosis,2014,4,NA,NA,NA
Listeriosis,2014,4,4,31,9
Measles,2014,4,NA,6,2
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,4,3,11,4
"Meningococcal disease, invasive, serogroup B",2014,4,NA,1,2
"Meningococcal disease, invasive, other serogroup",2014,4,NA,2,0
"Meningococcal disease, invasive, unknown serogroup",2014,4,3,16,9
Novel influenza A virus infections***,2014,4,NA,NA,34
Plague,2014,4,NA,NA,NA
"Poliomyelitis, paralytic",2014,4,NA,NA,NA
"Polio virus Infection, nonparalytic",2014,4,NA,NA,NA
Psittacosis,2014,4,NA,NA,0
"Q fever, total",2014,4,1,2,1
"Q fever, acute",2014,4,1,2,1
"Rabies, human",2014,4,NA,NA,NA
Rubella,2014,4,NA,NA,0
"Rubella, congenital syndrome",2014,4,NA,NA,0
SARS-CoV,2014,4,NA,NA,NA
Smallpox,2014,4,NA,NA,NA
Streptococcal toxic-shock syndrome,2014,4,NA,4,4
"Syphilis, congenital (age <1 yr)",2014,4,NA,1,7
Tetanus,2014,4,NA,1,0
Toxic-shock syndrome (staphylococcal),2014,4,1,2,1
Trichinellosis,2014,4,NA,NA,0
Tularemia,2014,4,NA,NA,0
Typhoid fever,2014,4,1,4,8
Vancomycin-intermediate Staphylococcus aureus,2014,4,3,10,2
Vancomycin-resistant Staphylococcus aureus,2014,4,NA,NA,NA
Vibriosis (noncholera Vibrio species infections),2014,4,2,10,4
Viral hemorrhagic fever,2014,4,NA,NA,0
Yellow fever,2014,4,NA,NA,NA
Anthrax,2014,5,NA,NA,NA
"Arboviral diseases, California serogroup virus disease,",2014,5,NA,NA,0
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,5,NA,NA,0
"Arboviral diseases, Powassan virus disease,",2014,5,NA,NA,NA
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,5,NA,NA,NA
"Arboviral diseases, Western equine encephalitis virus disease,",2014,5,NA,NA,NA
"Botulism, total",2014,5,NA,6,2
"Botulism, foodborne",2014,5,NA,NA,0
"Botulism, infant",2014,5,NA,4,2
"Botulism, other (wound and unspecified)",2014,5,NA,2,0
Brucellosis,2014,5,NA,5,1
Chancroid,2014,5,NA,NA,0
Cholera,2014,5,NA,NA,0
Cyclosporiasis,2014,5,3,3,2
Diphtheria,2014,5,NA,NA,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,5,NA,1,1
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,5,1,14,5
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,5,4,28,5
Hansen disease,2014,5,NA,NA,2
Hantavirus pulmonary syndrome,2014,5,NA,NA,0
"Hemolytic uremic syndrome, postdiarrheal",2014,5,1,3,1
"Hepatitis B, virus infection perinatal",2014,5,2,4,1
"Influenza-associated pediatric mortality,",2014,5,3,31,5
Leptospirosis,2014,5,NA,NA,NA
Listeriosis,2014,5,3,39,9
Measles,2014,5,5,13,2
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,5,NA,12,4
"Meningococcal disease, invasive, serogroup B",2014,5,NA,2,3
"Meningococcal disease, invasive, other serogroup",2014,5,NA,2,0
"Meningococcal disease, invasive, unknown serogroup",2014,5,6,22,9
Novel influenza A virus infections***,2014,5,NA,NA,32
Plague,2014,5,NA,NA,NA
"Poliomyelitis, paralytic",2014,5,NA,NA,NA
"Polio virus Infection, nonparalytic",2014,5,NA,NA,NA
Psittacosis,2014,5,NA,NA,0
"Q fever, total",2014,5,NA,4,2
"Q fever, acute",2014,5,NA,4,2
"Q fever, chronic",2014,5,NA,NA,0
"Rabies, human",2014,5,NA,NA,NA
Rubella,2014,5,NA,1,0
"Rubella, congenital syndrome",2014,5,NA,NA,0
SARS-CoV,2014,5,NA,NA,NA
Smallpox,2014,5,NA,NA,NA
Streptococcal toxic-shock syndrome,2014,5,1,8,4
"Syphilis, congenital (age <1 yr)",2014,5,NA,1,8
Tetanus,2014,5,NA,1,0
Toxic-shock syndrome (staphylococcal),2014,5,NA,2,2
Trichinellosis,2014,5,NA,NA,1
Tularemia,2014,5,NA,NA,0
Typhoid fever,2014,5,4,10,8
Vancomycin-intermediate Staphylococcus aureus,2014,5,1,12,2
Vancomycin-resistant Staphylococcus aureus,2014,5,NA,NA,NA
Vibriosis (noncholera Vibrio species infections),2014,5,2,18,4
Viral hemorrhagic fever,2014,5,NA,NA,0
Yellow fever,2014,5,NA,NA,NA
Anthrax,2014,6,NA,NA,NA
"Arboviral diseases, California serogroup virus disease,",2014,6,NA,NA,0
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,6,NA,NA,NA
"Arboviral diseases, Powassan virus disease,",2014,6,NA,NA,NA
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,6,NA,NA,NA
"Arboviral diseases, Western equine encephalitis virus disease,",2014,6,NA,NA,NA
"Botulism, total",2014,6,NA,10,2
"Botulism, foodborne",2014,6,NA,NA,0
"Botulism, infant",2014,6,NA,6,2
"Botulism, other (wound and unspecified)",2014,6,NA,4,0
Brucellosis,2014,6,1,6,1
Chancroid,2014,6,2,3,0
Cholera,2014,6,NA,NA,0
Cyclosporiasis,2014,6,NA,3,2
Diphtheria,2014,6,NA,NA,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,6,NA,1,1
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,6,NA,16,5
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,6,5,37,5
Hansen disease,2014,6,NA,1,2
Hantavirus pulmonary syndrome,2014,6,1,2,0
"Hemolytic uremic syndrome, postdiarrheal",2014,6,1,4,2
"Hepatitis B, virus infection perinatal",2014,6,1,5,1
"Influenza-associated pediatric mortality,",2014,6,10,41,5
Leptospirosis,2014,6,NA,NA,0
Listeriosis,2014,6,5,46,9
Measles,2014,6,2,20,2
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,6,NA,13,5
"Meningococcal disease, invasive, serogroup B",2014,6,NA,2,3
"Meningococcal disease, invasive, other serogroup",2014,6,NA,2,0
"Meningococcal disease, invasive, unknown serogroup",2014,6,6,29,9
Novel influenza A virus infections***,2014,6,NA,NA,31
Plague,2014,6,NA,NA,NA
"Poliomyelitis, paralytic",2014,6,NA,NA,NA
"Polio virus Infection, nonparalytic",2014,6,NA,NA,NA
Psittacosis,2014,6,NA,NA,0
"Q fever, total",2014,6,NA,4,2
"Q fever, acute",2014,6,NA,4,2
"Q fever, chronic",2014,6,NA,NA,0
"Rabies, human",2014,6,NA,NA,NA
Rubella,2014,6,NA,1,0
"Rubella, congenital syndrome",2014,6,NA,NA,0
SARS-CoV,2014,6,NA,NA,NA
Smallpox,2014,6,NA,NA,NA
Streptococcal toxic-shock syndrome,2014,6,NA,8,5
"Syphilis, congenital (age <1 yr)",2014,6,NA,2,8
Tetanus,2014,6,1,2,1
Toxic-shock syndrome (staphylococcal),2014,6,NA,3,2
Trichinellosis,2014,6,NA,NA,1
Tularemia,2014,6,NA,NA,0
Typhoid fever,2014,6,4,15,7
Vancomycin-intermediate Staphylococcus aureus,2014,6,NA,6,1
Vancomycin-resistant Staphylococcus aureus,2014,6,NA,NA,NA
Vibriosis (noncholera Vibrio species infections),2014,6,4,25,4
Viral hemorrhagic fever,2014,6,NA,NA,NA
Yellow fever,2014,6,NA,NA,NA
Anthrax,2014,7,NA,NA,NA
"Arboviral diseases, California serogroup virus disease,",2014,7,NA,NA,0
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,7,NA,NA,NA
"Arboviral diseases, Powassan virus disease,",2014,7,NA,NA,NA
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,7,NA,NA,NA
"Arboviral diseases, Western equine encephalitis virus disease,",2014,7,NA,NA,NA
"Botulism, total",2014,7,2,15,2
"Botulism, foodborne",2014,7,NA,NA,0
"Botulism, infant",2014,7,NA,9,2
"Botulism, other (wound and unspecified)",2014,7,2,6,0
Brucellosis,2014,7,1,7,1
Chancroid,2014,7,1,3,0
Cholera,2014,7,NA,NA,0
Cyclosporiasis,2014,7,2,5,1
Diphtheria,2014,7,NA,NA,0
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,7,1,2,1
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,7,1,21,6
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,7,3,43,5
Hansen disease,2014,7,NA,1,2
Hantavirus pulmonary syndrome,2014,7,NA,1,0
"Hemolytic uremic syndrome, postdiarrheal",2014,7,2,7,2
"Hepatitis B, virus infection perinatal",2014,7,NA,5,1
"Influenza-associated pediatric mortality,",2014,7,2,43,5
Leptospirosis,2014,7,NA,NA,0
Listeriosis,2014,7,5,53,9
Measles,2014,7,2,24,2
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,7,1,15,5
"Meningococcal disease, invasive, serogroup B",2014,7,NA,6,4
"Meningococcal disease, invasive, other serogroup",2014,7,1,3,0
"Meningococcal disease, invasive, unknown serogroup",2014,7,1,34,8
Novel influenza A virus infections***,2014,7,NA,NA,22
Plague,2014,7,NA,NA,NA
"Poliomyelitis, paralytic",2014,7,NA,NA,NA
"Polio virus Infection, nonparalytic",2014,7,NA,NA,NA
Psittacosis,2014,7,1,1,0
"Q fever, total",2014,7,NA,5,2
"Q fever, acute",2014,7,NA,5,2
"Q fever, chronic",2014,7,NA,NA,0
"Rabies, human",2014,7,NA,NA,NA
Rubella,2014,7,NA,1,0
"Rubella, congenital syndrome",2014,7,NA,NA,0
SARS-CoV,2014,7,NA,NA,NA
Smallpox,2014,7,NA,NA,NA
Streptococcal toxic-shock syndrome,2014,7,1,9,5
"Syphilis, congenital (age <1 yr)",2014,7,NA,2,8
Tetanus,2014,7,1,3,0
Toxic-shock syndrome (staphylococcal),2014,7,NA,4,2
Trichinellosis,2014,7,NA,NA,1
Tularemia,2014,7,NA,NA,0
Typhoid fever,2014,7,2,22,8
Vancomycin-intermediate Staphylococcus aureus,2014,7,4,13,2
Vancomycin-resistant Staphylococcus aureus,2014,7,NA,NA,NA
Vibriosis (noncholera Vibrio species infections),2014,7,5,33,5
Viral hemorrhagic fever,2014,7,NA,NA,NA
Yellow fever,2014,7,NA,NA,NA
Anthrax,2014,8,NA,NA,NA
"Arboviral diseases, California serogroup virus disease,",2014,8,NA,NA,0
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,8,NA,NA,0
"Arboviral diseases, Powassan virus disease,",2014,8,NA,NA,NA
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,8,NA,NA,NA
"Arboviral diseases, Western equine encephalitis virus disease,",2014,8,NA,NA,NA
"Botulism, total",2014,8,1,16,3
"Botulism, foodborne",2014,8,NA,NA,0
"Botulism, infant",2014,8,1,10,2
"Botulism, other (wound and unspecified)",2014,8,NA,6,0
Brucellosis,2014,8,NA,5,1
Chancroid,2014,8,NA,4,0
Cholera,2014,8,NA,NA,0
Cyclosporiasis,2014,8,1,6,1
Diphtheria,2014,8,NA,NA,0
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,8,NA,2,1
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,8,NA,24,5
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,8,3,49,5
Hansen disease,2014,8,NA,1,2
Hantavirus pulmonary syndrome,2014,8,NA,2,0
"Hemolytic uremic syndrome, postdiarrheal",2014,8,NA,8,2
"Hepatitis B, virus infection perinatal",2014,8,NA,5,1
"Influenza-associated pediatric mortality,",2014,8,9,52,4
Leptospirosis,2014,8,NA,NA,0
Listeriosis,2014,8,3,58,10
Measles,2014,8,1,28,2
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,8,2,17,6
"Meningococcal disease, invasive, serogroup B",2014,8,NA,6,4
"Meningococcal disease, invasive, other serogroup",2014,8,NA,3,0
"Meningococcal disease, invasive, unknown serogroup",2014,8,3,39,8
Novel influenza A virus infections***,2014,8,NA,NA,21
Plague,2014,8,NA,NA,NA
"Poliomyelitis, paralytic",2014,8,NA,NA,NA
"Polio virus Infection, nonparalytic",2014,8,NA,NA,NA
Psittacosis,2014,8,NA,1,0
"Q fever, total",2014,8,2,7,2
"Q fever, acute",2014,8,2,7,2
"Q fever, chronic",2014,8,NA,NA,0
"Rabies, human",2014,8,NA,NA,NA
Rubella,2014,8,NA,NA,0
"Rubella, congenital syndrome",2014,8,NA,NA,0
SARS-CoV,2014,8,NA,NA,NA
Smallpox,2014,8,NA,NA,NA
Streptococcal toxic-shock syndrome,2014,8,2,13,5
"Syphilis, congenital (age <1 yr)",2014,8,NA,8,8
Tetanus,2014,8,NA,3,0
Toxic-shock syndrome (staphylococcal),2014,8,NA,6,2
Trichinellosis,2014,8,NA,NA,1
Tularemia,2014,8,NA,NA,0
Typhoid fever,2014,8,4,27,7
Vancomycin-intermediate Staphylococcus aureus,2014,8,NA,14,2
Vancomycin-resistant Staphylococcus aureus,2014,8,NA,NA,NA
Vibriosis (noncholera Vibrio species infections),2014,8,2,40,5
Viral hemorrhagic fever,2014,8,NA,NA,NA
Yellow fever,2014,8,NA,NA,NA
Anthrax,2014,9,NA,NA,NA
"Arboviral diseases, California serogroup virus disease,",2014,9,NA,NA,0
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,9,NA,NA,0
"Arboviral diseases, Powassan virus disease,",2014,9,NA,NA,NA
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,9,NA,NA,NA
Tetanus,2014,9,NA,3,0
"Arboviral diseases, Western equine encephalitis virus disease,",2014,9,NA,NA,NA
"Botulism, total",2014,9,NA,21,3
"Botulism, foodborne",2014,9,NA,NA,0
"Botulism, infant",2014,9,NA,15,2
"Botulism, other (wound and unspecified)",2014,9,NA,6,0
Brucellosis,2014,9,NA,6,1
Chancroid,2014,9,NA,4,0
Cholera,2014,9,NA,NA,0
Cyclosporiasis,2014,9,NA,6,1
Diphtheria,2014,9,NA,NA,0
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,9,1,3,1
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,9,NA,28,5
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,9,4,57,5
Hansen disease,2014,9,NA,5,2
Hantavirus pulmonary syndrome,2014,9,NA,2,0
"Hemolytic uremic syndrome, postdiarrheal",2014,9,NA,8,3
"Hepatitis B, virus infection perinatal",2014,9,NA,6,1
"Influenza-associated pediatric mortality,",2014,9,4,56,5
Leptospirosis,2014,9,NA,1,0
Listeriosis,2014,9,5,69,10
Measles,2014,9,3,51,2
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,9,3,21,6
"Meningococcal disease, invasive, serogroup B",2014,9,1,7,4
"Meningococcal disease, invasive, other serogroup",2014,9,NA,3,0
"Meningococcal disease, invasive, unknown serogroup",2014,9,6,51,8
Novel influenza A virus infections***,2014,9,NA,NA,13
Plague,2014,9,NA,NA,NA
"Poliomyelitis, paralytic",2014,9,NA,NA,NA
"Polio virus Infection, nonparalytic",2014,9,NA,NA,NA
Psittacosis,2014,9,NA,1,0
"Q fever, total",2014,9,1,8,2
"Q fever, acute",2014,9,NA,7,2
"Q fever, chronic",2014,9,1,1,0
"Rabies, human",2014,9,NA,NA,NA
Rubella,2014,9,NA,NA,0
"Rubella, congenital syndrome",2014,9,NA,NA,0
SARS-CoV,2014,9,NA,NA,NA
Smallpox,2014,9,NA,NA,NA
Streptococcal toxic-shock syndrome,2014,9,3,20,5
"Syphilis, congenital (age <1 yr)",2014,9,NA,13,8
Toxic-shock syndrome (staphylococcal),2014,9,NA,10,2
Trichinellosis,2014,9,NA,NA,1
Tularemia,2014,9,NA,NA,0
Typhoid fever,2014,9,2,28,7
Vancomycin-intermediate Staphylococcus aureus,2014,9,1,22,1
Vancomycin-resistant Staphylococcus aureus,2014,9,NA,NA,0
Vibriosis (noncholera Vibrio species infections),2014,9,3,46,5
Viral hemorrhagic fever,2014,9,NA,NA,NA
Yellow fever,2014,9,NA,NA,NA
Anthrax,2014,10,NA,NA,NA
"Arboviral diseases, California serogroup virus disease,",2014,10,NA,NA,0
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,10,NA,NA,0
"Arboviral diseases, Powassan virus disease,",2014,10,NA,NA,NA
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,10,NA,NA,NA
"Arboviral diseases, Western equine encephalitis virus disease,",2014,10,NA,NA,NA
"Botulism, total",2014,10,1,25,3
"Botulism, foodborne",2014,10,NA,NA,0
"Botulism, infant",2014,10,1,19,2
"Botulism, other (wound and unspecified)",2014,10,NA,6,0
Brucellosis,2014,10,NA,8,2
Chancroid,2014,10,NA,5,0
Cholera,2014,10,NA,NA,0
Cyclosporiasis,2014,10,8,14,1
Diphtheria,2014,10,NA,NA,0
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,10,NA,3,1
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,10,NA,32,5
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,10,7,67,5
Hansen disease,2014,10,NA,5,1
Hantavirus pulmonary syndrome,2014,10,NA,2,0
"Hemolytic uremic syndrome, postdiarrheal",2014,10,2,10,3
