DISEASE,MMWR_YEAR,MMWR_WEEK,TOTAL_CASES
"Q fever, total",2014,3,144
"Q fever, acute",2014,3,112
"Q fever, chronic",2014,3,32
"Rabies, human",2014,3,NA
Rubella,2014,3,9
"Rubella, congenital syndrome",2014,3,NA
SARS-CoV,2014,3,NA
Smallpox,2014,3,NA
Streptococcal toxic-shock syndrome,2014,3,135
"Syphilis, congenital (age <1 yr)",2014,3,184
Tetanus,2014,3,20
Toxic-shock syndrome (staphylococcal),2014,3,59
Trichinellosis,2014,3,19
Tularemia,2014,3,193
Typhoid fever,2014,3,302
Vancomycin-intermediate Staphylococcus aureus,2014,3,178
Vancomycin-resistant Staphylococcus aureus,2014,3,NA
"Q fever, chronic",2014,4,34
Vibriosis (noncholera Vibrio species infections),2014,3,1100
Viral hemorrhagic fever,2014,3,NA
Yellow fever,2014,3,NA
Anthrax,2014,4,NA
"Arboviral diseases, California serogroup virus disease,",2014,4,81
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,4,6
"Arboviral diseases, Powassan virus disease,",2014,4,13
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,4,NA
"Arboviral diseases, Western equine encephalitis virus disease,",2014,4,NA
"Botulism, total",2014,4,140
"Botulism, foodborne",2014,4,5
"Botulism, infant",2014,4,122
"Botulism, other (wound and unspecified)",2014,4,13
Brucellosis,2014,4,95
Chancroid,2014,4,11
Cholera,2014,4,2
Cyclosporiasis,2014,4,664
Diphtheria,2014,4,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,4,22
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,4,179
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,4,211
Hansen disease,2014,4,52
Hantavirus pulmonary syndrome,2014,4,13
"Hemolytic uremic syndrome, postdiarrheal",2014,4,226
"Hepatitis B, virus infection perinatal",2014,4,50
"Influenza-associated pediatric mortality,",2014,4,164
Leptospirosis,2014,4,NA
Listeriosis,2014,4,648
Measles,2014,4,187
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,4,116
"Meningococcal disease, invasive, serogroup B",2014,4,76
"Meningococcal disease, invasive, other serogroup",2014,4,14
"Meningococcal disease, invasive, unknown serogroup",2014,4,310
Novel influenza A virus infections***,2014,4,21
Plague,2014,4,4
"Poliomyelitis, paralytic",2014,4,1
"Polio virus Infection, nonparalytic",2014,4,NA
Psittacosis,2014,4,7
"Q fever, total",2014,4,147
"Q fever, acute",2014,4,113
"Rabies, human",2014,4,NA
Rubella,2014,4,9
"Rubella, congenital syndrome",2014,4,NA
SARS-CoV,2014,4,NA
Smallpox,2014,4,NA
Streptococcal toxic-shock syndrome,2014,4,135
"Syphilis, congenital (age <1 yr)",2014,4,187
Tetanus,2014,4,20
Toxic-shock syndrome (staphylococcal),2014,4,62
Trichinellosis,2014,4,19
Tularemia,2014,4,194
Typhoid fever,2014,4,302
Vancomycin-intermediate Staphylococcus aureus,2014,4,210
Vancomycin-resistant Staphylococcus aureus,2014,4,NA
Vibriosis (noncholera Vibrio species infections),2014,4,1102
Viral hemorrhagic fever,2014,4,NA
Yellow fever,2014,4,NA
Anthrax,2014,5,NA
"Arboviral diseases, California serogroup virus disease,",2014,5,83
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,5,6
"Arboviral diseases, Powassan virus disease,",2014,5,13
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,5,NA
"Arboviral diseases, Western equine encephalitis virus disease,",2014,5,NA
"Botulism, total",2014,5,141
"Botulism, foodborne",2014,5,5
"Botulism, infant",2014,5,122
"Botulism, other (wound and unspecified)",2014,5,14
Brucellosis,2014,5,104
Chancroid,2014,5,11
Cholera,2014,5,2
Cyclosporiasis,2014,5,664
Diphtheria,2014,5,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,5,22
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,5,182
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,5,209
Hansen disease,2014,5,64
Hantavirus pulmonary syndrome,2014,5,13
"Hemolytic uremic syndrome, postdiarrheal",2014,5,227
"Hepatitis B, virus infection perinatal",2014,5,51
"Influenza-associated pediatric mortality,",2014,5,164
Leptospirosis,2014,5,NA
Listeriosis,2014,5,673
Measles,2014,5,187
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,5,117
"Meningococcal disease, invasive, serogroup B",2014,5,77
"Meningococcal disease, invasive, other serogroup",2014,5,14
"Meningococcal disease, invasive, unknown serogroup",2014,5,307
Novel influenza A virus infections***,2014,5,21
Plague,2014,5,4
"Poliomyelitis, paralytic",2014,5,1
"Polio virus Infection, nonparalytic",2014,5,NA
Psittacosis,2014,5,7
"Q fever, total",2014,5,150
"Q fever, acute",2014,5,116
"Q fever, chronic",2014,5,34
"Rabies, human",2014,5,NA
Rubella,2014,5,9
"Rubella, congenital syndrome",2014,5,NA
SARS-CoV,2014,5,NA
Smallpox,2014,5,NA
Streptococcal toxic-shock syndrome,2014,5,135
"Syphilis, congenital (age <1 yr)",2014,5,185
Tetanus,2014,5,21
Toxic-shock syndrome (staphylococcal),2014,5,65
Trichinellosis,2014,5,19
Tularemia,2014,5,195
Typhoid fever,2014,5,322
Vancomycin-intermediate Staphylococcus aureus,2014,5,210
Vancomycin-resistant Staphylococcus aureus,2014,5,NA
Vibriosis (noncholera Vibrio species infections),2014,5,1126
Viral hemorrhagic fever,2014,5,NA
Yellow fever,2014,5,NA
Anthrax,2014,6,NA
"Arboviral diseases, California serogroup virus disease,",2014,6,83
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,6,6
"Arboviral diseases, Powassan virus disease,",2014,6,13
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,6,NA
"Arboviral diseases, Western equine encephalitis virus disease,",2014,6,NA
"Botulism, total",2014,6,141
"Botulism, foodborne",2014,6,5
"Botulism, infant",2014,6,122
"Botulism, other (wound and unspecified)",2014,6,14
Brucellosis,2014,6,106
Chancroid,2014,6,11
Cholera,2014,6,2
Cyclosporiasis,2014,6,668
Diphtheria,2014,6,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,6,22
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,6,188
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,6,209
Hansen disease,2014,6,64
Hantavirus pulmonary syndrome,2014,6,13
"Hemolytic uremic syndrome, postdiarrheal",2014,6,233
"Hepatitis B, virus infection perinatal",2014,6,51
"Influenza-associated pediatric mortality,",2014,6,164
Leptospirosis,2014,6,NA
Listeriosis,2014,6,715
Measles,2014,6,187
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,6,120
"Meningococcal disease, invasive, serogroup B",2014,6,78
"Meningococcal disease, invasive, other serogroup",2014,6,14
"Meningococcal disease, invasive, unknown serogroup",2014,6,308
Novel influenza A virus infections***,2014,6,21
Plague,2014,6,4
"Poliomyelitis, paralytic",2014,6,1
"Polio virus Infection, nonparalytic",2014,6,NA
Psittacosis,2014,6,7
"Q fever, total",2014,6,151
"Q fever, acute",2014,6,117
"Q fever, chronic",2014,6,34
"Rabies, human",2014,6,NA
Rubella,2014,6,9
"Rubella, congenital syndrome",2014,6,NA
SARS-CoV,2014,6,NA
Smallpox,2014,6,NA
Streptococcal toxic-shock syndrome,2014,6,139
"Syphilis, congenital (age <1 yr)",2014,6,193
Tetanus,2014,6,23
Toxic-shock syndrome (staphylococcal),2014,6,67
Trichinellosis,2014,6,19
Tularemia,2014,6,197
Typhoid fever,2014,6,335
Vancomycin-intermediate Staphylococcus aureus,2014,6,212
Vancomycin-resistant Staphylococcus aureus,2014,6,NA
Vibriosis (noncholera Vibrio species infections),2014,6,1161
Viral hemorrhagic fever,2014,6,NA
Yellow fever,2014,6,NA
Anthrax,2014,7,NA
"Arboviral diseases, California serogroup virus disease,",2014,7,83
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,7,6
"Arboviral diseases, Powassan virus disease,",2014,7,13
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,7,NA
"Arboviral diseases, Western equine encephalitis virus disease,",2014,7,NA
"Botulism, total",2014,7,144
"Botulism, foodborne",2014,7,6
"Botulism, infant",2014,7,122
"Botulism, other (wound and unspecified)",2014,7,16
Brucellosis,2014,7,107
Chancroid,2014,7,10
Cholera,2014,7,2
Cyclosporiasis,2014,7,671
Diphtheria,2014,7,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,7,22
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,7,189
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,7,210
Hansen disease,2014,7,64
Hantavirus pulmonary syndrome,2014,7,13
"Hemolytic uremic syndrome, postdiarrheal",2014,7,233
"Hepatitis B, virus infection perinatal",2014,7,50
"Influenza-associated pediatric mortality,",2014,7,164
Leptospirosis,2014,7,NA
Listeriosis,2014,7,722
Measles,2014,7,187
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,7,120
"Meningococcal disease, invasive, serogroup B",2014,7,78
"Meningococcal disease, invasive, other serogroup",2014,7,14
"Meningococcal disease, invasive, unknown serogroup",2014,7,307
Novel influenza A virus infections***,2014,7,21
Plague,2014,7,4
"Poliomyelitis, paralytic",2014,7,1
"Polio virus Infection, nonparalytic",2014,7,NA
Psittacosis,2014,7,7
"Q fever, total",2014,7,152
"Q fever, acute",2014,7,118
"Q fever, chronic",2014,7,34
"Rabies, human",2014,7,NA
Rubella,2014,7,9
"Rubella, congenital syndrome",2014,7,NA
SARS-CoV,2014,7,NA
Smallpox,2014,7,NA
Streptococcal toxic-shock syndrome,2014,7,139
"Syphilis, congenital (age <1 yr)",2014,7,200
Tetanus,2014,7,23
Toxic-shock syndrome (staphylococcal),2014,7,67
Trichinellosis,2014,7,19
Tularemia,2014,7,198
Typhoid fever,2014,7,340
Vancomycin-intermediate Staphylococcus aureus,2014,7,212
Vancomycin-resistant Staphylococcus aureus,2014,7,NA
Vibriosis (noncholera Vibrio species infections),2014,7,1200
Viral hemorrhagic fever,2014,7,NA
Yellow fever,2014,7,NA
Anthrax,2014,8,NA
"Arboviral diseases, California serogroup virus disease,",2014,8,83
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,8,6
"Arboviral diseases, Powassan virus disease,",2014,8,13
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,8,NA
"Arboviral diseases, Western equine encephalitis virus disease,",2014,8,NA
"Botulism, total",2014,8,145
"Botulism, foodborne",2014,8,6
"Botulism, infant",2014,8,123
"Botulism, other (wound and unspecified)",2014,8,16
Brucellosis,2014,8,107
Chancroid,2014,8,10
Cholera,2014,8,2
Cyclosporiasis,2014,8,673
Diphtheria,2014,8,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,8,22
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,8,191
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,8,213
Hansen disease,2014,8,64
Hantavirus pulmonary syndrome,2014,8,14
"Hemolytic uremic syndrome, postdiarrheal",2014,8,233
"Hepatitis B, virus infection perinatal",2014,8,52
"Influenza-associated pediatric mortality,",2014,8,164
Leptospirosis,2014,8,NA
Listeriosis,2014,8,726
Measles,2014,8,187
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,8,120
"Meningococcal disease, invasive, serogroup B",2014,8,77
"Meningococcal disease, invasive, other serogroup",2014,8,14
"Meningococcal disease, invasive, unknown serogroup",2014,8,307
Novel influenza A virus infections***,2014,8,21
Plague,2014,8,4
"Poliomyelitis, paralytic",2014,8,1
"Polio virus Infection, nonparalytic",2014,8,NA
Psittacosis,2014,8,7
"Q fever, total",2014,8,153
"Q fever, acute",2014,8,119
"Q fever, chronic",2014,8,34
"Rabies, human",2014,8,NA
Rubella,2014,8,9
"Rubella, congenital syndrome",2014,8,1
SARS-CoV,2014,8,NA
Smallpox,2014,8,NA
Streptococcal toxic-shock syndrome,2014,8,140
"Syphilis, congenital (age <1 yr)",2014,8,212
Tetanus,2014,8,24
Toxic-shock syndrome (staphylococcal),2014,8,67
Trichinellosis,2014,8,19
Tularemia,2014,8,199
Typhoid fever,2014,8,340
Vancomycin-intermediate Staphylococcus aureus,2014,8,212
Vancomycin-resistant Staphylococcus aureus,2014,8,NA
Vibriosis (noncholera Vibrio species infections),2014,8,1208
Viral hemorrhagic fever,2014,8,NA
Yellow fever,2014,8,NA
Anthrax,2014,9,NA
"Arboviral diseases, California serogroup virus disease,",2014,9,83
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,9,6
"Arboviral diseases, Powassan virus disease,",2014,9,14
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,9,NA
Tetanus,2014,9,24
"Arboviral diseases, Western equine encephalitis virus disease,",2014,9,NA
"Botulism, total",2014,9,148
"Botulism, foodborne",2014,9,7
"Botulism, infant",2014,9,125
"Botulism, other (wound and unspecified)",2014,9,16
Brucellosis,2014,9,114
Chancroid,2014,9,10
Cholera,2014,9,2
Cyclosporiasis,2014,9,700
Diphtheria,2014,9,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,9,22
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,9,194
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,9,211
Hansen disease,2014,9,64
Hantavirus pulmonary syndrome,2014,9,14
"Hemolytic uremic syndrome, postdiarrheal",2014,9,247
"Hepatitis B, virus infection perinatal",2014,9,57
"Influenza-associated pediatric mortality,",2014,9,164
Leptospirosis,2014,9,NA
Listeriosis,2014,9,756
Measles,2014,9,187
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,9,124
"Meningococcal disease, invasive, serogroup B",2014,9,79
"Meningococcal disease, invasive, other serogroup",2014,9,14
"Meningococcal disease, invasive, unknown serogroup",2014,9,305
Novel influenza A virus infections***,2014,9,21
Plague,2014,9,4
"Poliomyelitis, paralytic",2014,9,1
"Polio virus Infection, nonparalytic",2014,9,NA
Psittacosis,2014,9,7
"Q fever, total",2014,9,164
"Q fever, acute",2014,9,127
"Q fever, chronic",2014,9,37
"Rabies, human",2014,9,NA
Rubella,2014,9,9
"Rubella, congenital syndrome",2014,9,1
SARS-CoV,2014,9,NA
Smallpox,2014,9,NA
Streptococcal toxic-shock syndrome,2014,9,140
"Syphilis, congenital (age <1 yr)",2014,9,217
Toxic-shock syndrome (staphylococcal),2014,9,69
Trichinellosis,2014,9,19
Tularemia,2014,9,202
Typhoid fever,2014,9,345
Vancomycin-intermediate Staphylococcus aureus,2014,9,218
Vancomycin-resistant Staphylococcus aureus,2014,9,NA
Vibriosis (noncholera Vibrio species infections),2014,9,1238
Viral hemorrhagic fever,2014,9,NA
Yellow fever,2014,9,NA
Anthrax,2014,10,NA
"Arboviral diseases, California serogroup virus disease,",2014,10,84
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,10,7
"Arboviral diseases, Powassan virus disease,",2014,10,14
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,10,NA
"Arboviral diseases, Western equine encephalitis virus disease,",2014,10,NA
"Botulism, total",2014,10,149
"Botulism, foodborne",2014,10,7
"Botulism, infant",2014,10,126
"Botulism, other (wound and unspecified)",2014,10,16
Brucellosis,2014,10,116
Chancroid,2014,10,11
Cholera,2014,10,2
Cyclosporiasis,2014,10,701
Diphtheria,2014,10,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,10,22
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,10,194
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,10,212
Hansen disease,2014,10,74
Hantavirus pulmonary syndrome,2014,10,15
"Hemolytic uremic syndrome, postdiarrheal",2014,10,253
"Hepatitis B, virus infection perinatal",2014,10,57
"Influenza-associated pediatric mortality,",2014,10,164
Leptospirosis,2014,10,NA
Listeriosis,2014,10,756
Measles,2014,10,187
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,10,125
"Meningococcal disease, invasive, serogroup B",2014,10,85
"Meningococcal disease, invasive, other serogroup",2014,10,15
"Meningococcal disease, invasive, unknown serogroup",2014,10,305
Novel influenza A virus infections***,2014,10,21
Plague,2014,10,4
"Poliomyelitis, paralytic",2014,10,1
"Polio virus Infection, nonparalytic",2014,10,NA
Psittacosis,2014,10,7
"Q fever, total",2014,10,167
"Q fever, acute",2014,10,130
"Q fever, chronic",2014,10,37
"Rabies, human",2014,10,NA
Rubella,2014,10,9
"Rubella, congenital syndrome",2014,10,1
SARS-CoV,2014,10,NA
Smallpox,2014,10,NA
Streptococcal toxic-shock syndrome,2014,10,140
"Syphilis, congenital (age <1 yr)",2014,10,217
Tetanus,2014,10,24
Toxic-shock syndrome (staphylococcal),2014,10,69
Trichinellosis,2014,10,20
Tularemia,2014,10,202
Typhoid fever,2014,10,352
Vancomycin-intermediate Staphylococcus aureus,2014,10,223
Vancomycin-resistant Staphylococcus aureus,2014,10,NA
Vibriosis (noncholera Vibrio species infections),2014,10,1238
Viral hemorrhagic fever,2014,10,NA
Yellow fever,2014,10,NA
Anthrax,2014,11,NA
"Arboviral diseases, California serogroup virus disease,",2014,11,84
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,11,7
"Arboviral diseases, Powassan virus disease,",2014,11,14
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,11,NA
"Arboviral diseases, Western equine encephalitis virus disease,",2014,11,NA
"Botulism, total",2014,11,150
"Botulism, foodborne",2014,11,7
"Botulism, infant",2014,11,127
"Botulism, other (wound and unspecified)",2014,11,16
Brucellosis,2014,11,115
Chancroid,2014,11,11
Cholera,2014,11,2
Cyclosporiasis,2014,11,714
Diphtheria,2014,11,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,11,24
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,11,194
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,11,210
Hansen disease,2014,11,74
Hantavirus pulmonary syndrome,2014,11,14
"Hemolytic uremic syndrome, postdiarrheal",2014,11,257
"Hepatitis B, virus infection perinatal",2014,11,59
"Influenza-associated pediatric mortality,",2014,11,164
Leptospirosis,2014,11,NA
Listeriosis,2014,11,757
Measles,2014,11,187
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,11,126
"Meningococcal disease, invasive, serogroup B",2014,11,86
"Meningococcal disease, invasive, other serogroup",2014,11,15
"Meningococcal disease, invasive, unknown serogroup",2014,11,305
Novel influenza A virus infections***,2014,11,21
Plague,2014,11,4
"Poliomyelitis, paralytic",2014,11,1
"Polio virus Infection, nonparalytic",2014,11,NA
Psittacosis,2014,11,7
"Q fever, total",2014,11,168
"Q fever, acute",2014,11,131
"Q fever, chronic",2014,11,37
"Rabies, human",2014,11,NA
Rubella,2014,11,9
"Rubella, congenital syndrome",2014,11,1
SARS-CoV,2014,11,NA
Smallpox,2014,11,NA
Streptococcal toxic-shock syndrome,2014,11,142
Anthrax,2014,14,NA
"Syphilis, congenital (age <1 yr)",2014,11,219
Tetanus,2014,11,24
Toxic-shock syndrome (staphylococcal),2014,11,73
Trichinellosis,2014,11,19
Tularemia,2014,11,202
Typhoid fever,2014,11,352
Vancomycin-intermediate Staphylococcus aureus,2014,11,224
Vancomycin-resistant Staphylococcus aureus,2014,11,NA
Vibriosis (noncholera Vibrio species infections),2014,11,1240
Viral hemorrhagic fever,2014,11,NA
Yellow fever,2014,11,NA
Anthrax,2014,12,NA
"Rubella, congenital syndrome",2014,12,1
"Arboviral diseases, California serogroup virus disease,",2014,12,84
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,12,7
"Arboviral diseases, Powassan virus disease,",2014,12,14
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,12,NA
"Arboviral diseases, Western equine encephalitis virus disease,",2014,12,NA
"Botulism, total",2014,12,148
"Botulism, foodborne",2014,12,7
"Botulism, infant",2014,12,127
"Botulism, other (wound and unspecified)",2014,12,14
Brucellosis,2014,12,105
Chancroid,2014,12,11
Cholera,2014,12,2
Cyclosporiasis,2014,12,745
Diphtheria,2014,12,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,12,24
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,12,197
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,12,209
Hansen disease,2014,12,72
Hantavirus pulmonary syndrome,2014,12,14
"Hemolytic uremic syndrome, postdiarrheal",2014,12,253
"Hepatitis B, virus infection perinatal",2014,12,59
"Influenza-associated pediatric mortality,",2014,12,164
Leptospirosis,2014,12,NA
Listeriosis,2014,12,695
Measles,2014,12,189
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,12,126
"Meningococcal disease, invasive, serogroup B",2014,12,86
SARS-CoV,2014,14,NA
"Meningococcal disease, invasive, other serogroup",2014,12,15
"Meningococcal disease, invasive, unknown serogroup",2014,12,305
Novel influenza A virus infections***,2014,12,21
Plague,2014,12,4
"Poliomyelitis, paralytic",2014,12,1
"Polio virus Infection, nonparalytic",2014,12,NA
Psittacosis,2014,12,6
"Q fever, total",2014,12,162
"Q fever, acute",2014,12,124
"Q fever, chronic",2014,12,38
