incident_date,INCDTNO,RAILROAD,TYPPERS,CASFATAL,COUNTY,EVENT,narrative,LATITUDE,LONGITUD
2018-01-08,E20180102,LI,A,N,SUFFOLK,52,"EE WAS WALKING ON THE PATH BETWEEN 1 AND 2 TRACK OUTSIDE CAM SHED, HE SLIPPED ON THE ICE, FELL AND B_ANGED HIS HEAD. HE HAD AN EGG SIZE BUMP ON THE BACK OF HIS HEAD AND WAS DIZZY._NA",0,0
2018-01-09,E20180103,LI,A,N,QUEENS,34,EE INFORMED ME HE FELL BY THE D-77 B AREA. HE CAMEDOWN ON HIS HANDS AND JAMMED HIS RIGHT SHOULDER._NA_NA,0,0
2018-01-09,P20180106,LI,C,N,NASSAU,61,"PASSENGER PASSED OUT, FELL, HIT HEAD. TRANSPORTED TO WINTHROP HOSPITAL VIA EMS._NA_NA",0,0
2018-01-10,NT20180104,LI,D,N,KINGS,70,AIDED SLIPPED ON YELLOW RUBBER ON PLATFORM WHEN RUNNING FOR TRAIN. TRANSPORTED TO BROOKLYN HOSPITAL_NA_NA,0,0
2018-01-10,W20180107,LI,A,N,NASSAU,38,"EMPLOYEE WAS PULLING START CHORD ON BACKPACK BLOWER WHEN HE FELT A SHARP PAIN IN NECK AND BACK, ATTE_MPTED TO WORK AND PAIN WORSENED._NA",0,0
2018-01-10,NT20180105,LI,D,N,QUEENS,70,AIDED TRIPPED AND FELL CAUSING LACERATION TO FOREHEAD. TRANSPORTED TO JAMAICA HOSPITAL_NA_NA,0,0
2018-01-10,TP20180102,LI,A,N,SUFFOLK,52,EMPLOYEE SLIPPED ON SNOW AND ICE WHILE WALKING TOHIS CAR IN PORT JEFFERSON YARD BY #9 TRACK. EMPLOYE_E INJURED HIS LEFT HAMSTRING AS A RESULT.REFUSEDMEDICAL.THE AREA WAS TURNED IN TO BE CLEANED._NA,0,0
2018-01-11,NT20180106,LI,D,N,QUEENS,54,"AIDED TRIPPED OVER CONE LOCATED ON TROP OF EAST END OVERPASS,JAMAICA STATION. TRANSPORTED TO JAMAICA_HOSPITAL_NA",0,0
2018-01-12,P20180108,LI,C,N,SUFFOLK,99,PASSENGER PASSED OUT AND WAS UNABLE TO WAKE UP. CALLED FOR ASSISTANCE AT FREEPORT._NA_NA,0,0
2018-01-12,W20180108,LI,A,N,QUEENS,53,EMPLOYEE SLIPPED ON FOOD ITEM IN CAFETERIA IN FRONT OF ICE CREAM COOLER. FELT IMMEDIATE PAIN AND STI_FFNESS IN BACK AREA AND DOWN LEG ON LEFT SIDE OFBODY._NA,0,0
2018-01-13,W20180109,LI,A,N,NASSAU,99,EMPLOYEE INJURED RIGHT KNEE WHILE STANDING FRON KNEELING POSITION._NA_NA,0,0
2018-01-15,NT20180111,LI,D,N,QUEENS,70,AIDED STATED TRIPPED OVER JACKET AND FELL ONTO TRACK 8. TRANSPORTED TO JAMAICA HOSPITAL._NA_NA,0,0
2018-01-15,TP20180103,LI,A,N,QUEENS,70,EMPLOYEE FELT DIZZY AND LIGHTHEADED WHEN GETTING SOMETHING FROM HIS VEHICLE. EMPLOYEE THEN FELL INJU_RING HIS LEFT ANKLE AND KNEE. EMPLOYEE LOST CONSCIOUNESS AND WAS TAKEN TO HOSPITAL._NA,0,0
2018-01-15,P20180110,LI,C,N,NEW YORK,99,PASSENGER PASSED OUT ON TRAIN. TRANSPORTED TO LENNOX HILL HEALTHPLEX HOSPITAL._NA_NA,0,0
2018-01-16,E20180104,LI,A,N,SUFFOLK,36,"WHILE EE WAS REMOVING FROM SEAT, HE WAS STUCK BY NEEDLE._NA_NA",0,0
2018-01-17,P20180111,LI,C,N,QUEENS,99,AIDED FAINTED ON TRAIN #2872. TRANSPORTED TO JAMAICA HOSPITAL_NA_NA,0,0
2018-01-17,E20180107,LI,A,N,QUEENS,38,EE WAS ADJUSTING THE TRACK RECEIVER AND PULLED A MUSCLE IN HIS BACK._NA_NA,0,0
2018-01-17,E20180105,LI,A,N,NEW YORK,38,"WHILE EE WAS STEPPING OFF THE TRAIN, THEY FELT A PULL IN THEIR UPPER BACK, RIGHT ARM & SHOULDER._NA_NA",0,0
2018-01-17,PS20180103,LI,B,N,NASSAU,52,EE FELL AT BOTTOM OF ESCALATOR WHILE COMING TO WORK_NA_NA,0,0
2018-01-18,E20180106,LI,A,N,QUEENS,58,STRUCK LEFT KNEE WITH M7 TRUCK WIRE HARNESS._NA_NA,0,0
2018-01-19,P20180119,LI,C,N,NEW YORK,70,PASSENGER FELL IN FAP WHEN ATTEMPTING TO BOARD TRAIN._NA_NA,0,0
2018-01-19,NT20180112,LI,D,N,QUEENS,34,AIDED FELL ON STAIRS TO TRACK 6/7. TRANSPORTED TOJAMAICA HOSPITAL_NA_NA,0,0
2018-01-20,W20180112,LI,A,N,QUEENS,71,"EMPLOYEE WAS STACKING CUT WOOD MATERIAL ON PALLET,AS HE LOWERED THE MATERIAL TO THE PALLET, HESHIFTE_D TO THE SIDE TO PLACE MATERIAL DOWN & FELTPAIN IN HIS LOWER BACK._NA",0,0
2018-01-23,W20180111,LI,A,N,NASSAU,08,"EMPLOYEE WAS DRIVING A STEEL WEDGE PRYING BARBETWEEN TWO OAK TIMBER BOARDS FROM A TEMP PAD,THE HAMME_R SLIPPED WHEN IT STRUCK THE BAR PINCHINGEMPLOYEES LEFT RING FINGER TIP BETWEEN TIMBER PADPLATE AND_HAMMER.",0,0
2018-01-23,W20180110,LI,A,N,SUFFOLK,99,GANG WAS UNLOADING 7 LONG (SMALL) I BEAMS FOR A GUARDRAIL CONSTRUCTION. EMPLOYEE WAS REMOVING I BEAM_FROM GANG TRUCK AND FELT A POP IN HIS SHOULDER_NA,0,0
2018-01-23,TP20180104,LI,A,N,QUEENS,70,"EMPLOYEE WAS DESCENDING DOWN EASTEND STAIRCASE ATHPA TO TRACK LEVEL. ONE OF THE STAIR TREDS BROKE AN_D CAUSED THE EMPLOYEE TO FALL. HE INJURED HIS LOWER BACK, RIGHT KNEE, LEG AND ANKLE._NA",0,0
2018-01-24,P20180115,LI,C,N,SUFFOLK,70,WHILE ATTEMPTING TO BOARD TRAIN MISSTEPPED AND LEGFELL INTO GAP. TRANSPORTED TO HUNTINGTON HOSPITAL_NA_NA,0,0
2018-01-24,PS20180104,LI,A,N,NEW YORK,61,EE JAMMED LEFT RING FINGER ON OUTER DOOR ENTERINGSHOP AREA FROM YARD. EE SAID HE WAS FINE BUT LATERE_E EXPERIENCED MORE PAIN._NA,0,0
2018-01-24,PS20180102,LI,A,N,NASSAU,99,EE WAS UNWRAPPING A LONG HANDLE SCRAPER TO PLACE IN SUPPLY CLOSET AND PLASTIC PROTECTIVE COVER CAMEO_FF AND CUT FINGER._NA,0,0
2018-01-24,TS20180101,LI,E,Y,QUEENS,59,PTC TEST TRAIN STRUCK PEDESTRIAN AT BAYSIDE STATIODOA. TRESPASSER DECEASED._NA_NA,40.763851,-73.763851
2018-01-24,E20180108,LI,A,N,QUEENS,58,DURING INSTALLATION YAW DAMPER FELL ON EE'S LEFTRING FINGER. LEFT RING FINGER IS CUT ON TOP AND BOTT_OM._NA,0,0
2018-01-25,20069,LI,E,Y,QUEENS,59,TRESPASSER WAS DECEASED ON TRACK2 AFTER BEING STRUCK BY TEST TRAIN._NA_NA,40.758557,-73.765437
2018-01-25,E20180109,LI,A,N,QUEENS,58,L HAND INJURY/DOG BONE LINK FELL ON HAND._NA_NA,0,0
2018-01-25,NT20180114,LI,D,N,NASSAU,70,AIDED FELL ON WESTBOUND HANDICAP RAMP ADJACENT TOPLATFORM. TRANSPORTED TO GLEN COVE HOSPITAL_NA_NA,0,0
2018-01-25,NT20180115,LI,D,N,NASSAU,70,AIDED FELL DOWN STAIRS AT HICKSVILLE STATION. TRANSPORTED TO PLAINVIEW HOSPITAL_NA_NA,0,0
2018-01-26,NT20180116,LI,D,N,NEW YORK,99,AIDED FELL DOWN STAIRS HITTING HEAD. INTOX. TRANSPORTED TO BELLEVUE HOSPITAL_NA_NA,0,0
2018-01-27,NT20180117,LI,D,N,NEW YORK,70,"AIDED WAS DRINKING, FELL AND HIT HER HEAD LEAVINGA BUMP ON THE BACK OF HER HEAD._NA_NA",0,0
2018-01-27,TS20180102,LI,E,Y,SUFFOLK,59,TRAIN STRUCK PEDESTRIAN BY AN EASTBOUND TRAIN WHILE STANDING IN THE GAUGE BETWEEN HIGBIE LANE AND WI_NDSOR AVE CROSSING. TRESPASSER DECEASED._NA,40.718014,-73.272284
2018-01-27,W20180116,LI,A,N,SUFFOLK,58,WHILE HITTING OFF A PLATE SPACERWITH A SLEDGE HAMMER. EMPLOYEE KNOCKED OFF THE SPACER WITH A SLEDGEH_AMMER AND IT JUMPED UP AND HIT HIM ACROSS THE NOSE AND CHEEK._NA,0,0
2018-01-27,NT20180118,LI,D,N,NASSAU,70,AIDED WAS DRINKING AND FELL DOWN THE STAIRS AT THEMASSAPEQUA PARK STATION RESULTING IN A LACERATIONT_O HER LEFT EAR._NA,0,0
2018-01-27,W20180114,LI,A,N,SUFFOLK,70,"WHILE WALKING ON THE RIGHT OF WAY ON A CHILLY MORNING, EE SLIPPED ON FLAT STEEL TRACK PLATES AND INJ_URED HIS THIGH AND SHOULDER_NA",0,0
2018-01-29,TP20180106,LI,A,N,NASSAU,38,EMPLOYEE WAS APPLING HANDBRAKES WHEN HE STRAINED HIS RIGHTSIDE/MIDDLE OF HIS BACK. EMPLOYEE THOUGH T_HE HANDBRAKES WERE NOT FULLY APPLIED WHENIN FACT THEY WERE CAUSING HIMTO STRAIN HIS BACK._NA,0,0
2018-01-29,NT20180119,LI,D,N,QUEENS,70,AIDED TRIPPED AND FELL WHILE ASCENDING STAIRCASE.THE FALL RESULTED IN A LACERATION TO THE CENTER OFF_OREHEAD._NA,0,0
2018-01-30,TE20180105,LI,A,N,SUFFOLK,52,EMPLOYEE SLIPPED ON RUBBER CROSSWALK PAD INBABYLONYARD WHILE WALKING TO HIS EQUIPMENT ON TRACK 16. E_MPLOYEE SLIPPED CAUSOING HIM TO INJURE HIS LEFT KNEE._NA,0,0
2018-01-31,W20180115,LI,A,N,NASSAU,99,EMPLOYEE STATES HE INJURED HIS HAND REMOVING LADDER OFF OF 98C._NA_NA,0,0
2018-02-01,NT20180201,LI,D,N,QUEENS,70,"AIDED STATES WHILE ON ESCALATOR,PLATFORM E,JAMAICASTATION,ESCALATOR SUDDENLY STOPPED CAUSING HER TOF_ALL. TRANSPORTED TO JAMAICA HOSPITAL_NA",0,0
2018-02-01,E20180201,LI,A,N,QUEENS,09,"WHILE INSTALLING BEARING SEALS, EMPLOYEE CAUGHT HIS LEFT MIDDLE FINGER IN FIXTURE CAUSING AN APPROXI_MATELY 2 INCH LACERATION._NA",0,0
2018-02-02,TS20180201,LI,E,Y,NASSAU,59,DECEASED WALKED OFF PLATFORM INFRONT OF TRAIN._NA_NA,40.67553,-73.488236
2018-02-02,TE20180202,LI,A,N,NASSAU,99,EMPLOYEE WAS OPERATING HIS TRAIN WHEN HE STRUCK ATRESPASSER AT SEAFORD STATION. EMPLOYEE IS OUT DAUN_DER THE CARE OF EAP._NA,0,0
2018-02-03,NT20180202,LI,D,N,NASSAU,70,"AIDED STATED FELL WHILE WALKING UP THE HANDICAP RAMP,WESTBOUND PLATFORM,LOCUST VALLEY STATION,WEAKNE_SS IN LEGS AND BRAKE MALFUNCTION WITH WALKER. TRANSPORTED TO GLEN COVE HOSPITAL_NA",0,0
2018-02-03,PS20180201,LI,A,N,SUFFOLK,70,EE STEPPED OFF CURB AND SLIGHTLY TWISTED LEFT ANKLE._NA_NA,0,0
2018-02-05,P20180202,LI,C,N,NEW YORK,99,AIDED HAVING DIZZINESS AND CHEST PAIN ON TRAIN.AFTER EVALUATION AND INFORMATION OF PRIOR MEDICAL HIS_TORY TRANSPORTED TO BELLEVUE HOSPITAL_NA,0,0
2018-02-05,P20180201,LI,C,N,NASSAU,99,AIDED HAVING CARDIAC EPISODE ON TRAIN.TRANSPORTEDTO ST. FRANCIS HOSPITAL_NA_NA,0,0
2018-02-06,P20180203,LI,C,N,QUEENS,99,AIDED HAVING CHEST PAINS ON TRAIN#442. TRANSPORTEDTO NORTHWELL HEALTH MANHASSET HOSPITAL_NA_NA,0,0
2018-02-06,TS20180202,LI,E,Y,SUFFOLK,59,DECEASED ENTERED TRACKS FROM NORTHSIDE OF ROW ANDWAS STRUCK AND KILLED BY TRAIN._NA_NA,40.861025,-73.385445
2018-02-06,W20180203,LI,A,N,SUFFOLK,01,ASTHMA ATTACK_NA_NA,0,0
2018-02-07,TE20180201,LI,A,N,NASSAU,38,ENGINEER FELT A PAIN IN HIS ABDOMEN AFTER PULLINGTHE DUMP CORD. ENGINEER STATED HE WAS SEATED WHENHE_PULLED THE DUMP CORD DURING THE BRAKE TEST._NA,0,0
2018-02-08,NT20180204,LI,D,N,NEW YORK,70,ROUTINE PATROL FOUND AIDED WITH SWOLLEN BUMP ON LEFT SIDE OF HEAD.STATED HE FELL AND STRUCK HEAD.TRA_NSPORTED TO HEALTH PLEX_NA,0,0
2018-02-09,TP20180202,LI,A,N,NASSAU,99,EMPLOYEE WAS EXITING THE TRAINMENS ROOM AT HICKSVILLE STATION WHEN THE CONTRACTORS FENCE FELL ON TOP_OF HER. EMPLOYEE INJURED HER BACK AS A RESULT._NA,0,0
2018-02-09,NT20180205,LI,D,N,KINGS,70,"AIDED STATED WHILE WALKING DOWN STAIRS,ATLANTIC TERMINAL,TRACKS 3/4,LEG BUCKLED CAUSING HIM TO FALL._TRANSPORTED TO BROOKLYN HOSPITAL_NA",0,0
2018-02-10,PS20180203,LI,B,N,NASSAU,70,WHILE WALKING DOWN NORTH SIDE STAIRCASE AT MINEOLASTATION EE FELL AND HIT HIS HEAD ON BANNISTER CAUS_ING A HEAD LACERATION._NA,0,0
2018-02-10,NT20180207,LI,D,N,QUEENS,70,AIDED STATED FELT FAINT AND PASSED OT HITTIN GBACKOF HEAD ON GROUND.SMALL LACERATION TO BACK OF HEAD_WAS BLEEDING.TRANSPORTED TO JAMAICA HOSPITAL_NA,0,0
2018-02-10,NT20180206,LI,D,N,NEW YORK,58,AIDED COMPLAINING OF LEG PAIN DUE TO WOODEN STANCHION HOLDING TRAIN PAMPHLETS FALLING ON LEG. TRANSP_ORTED TO MOUNT SINAI WEST HOSPITAL_NA,0,0
2018-02-10,W20180205,LI,A,N,NEW YORK,38,EMPLOYEE STATED HE INJURED HIS LEFT ARM WHEN LIFTING A MANHOLE ON TRACK 19 IN WEST SIDE YARD._NA_NA,0,0
2018-02-12,W20180204,LI,A,N,SUFFOLK,56,EMPLOYEE STEPPED ON A NAIL IN THE YARD. THE NAIL WENT THROUGH THE BOOT AND PUNCTURED HIS LEFT FOOT._NA_NA,0,0
2018-02-15,NT20180212,LI,D,N,NEW YORK,70,"PASSENGER FELL DOWN EASTEND STAIRCASE, PENN STATION, TRACKS 18/19 AND HIT HEAD.TRANSPORTED TO BELLEV_UE HOSPITAL_NA",0,0
2018-02-16,NT20180203,LI,D,N,NEW YORK,70,AIDED STATED SHE FELL IN THE FEMALE BATHROOM.WITNESS STATED AIDED WAS DAZED AND NOT WELL.TRANSPORTED_TO BELLEVUE HOSPITAL_NA,0,0
2018-02-17,W20180206,LI,A,N,SUFFOLK,38,WHILE PUSHING CABLE THROUGH 6 DUCT EMPLOYEE FELTEXTREME PAIN IN LEFT SHOULDER._NA_NA,0,0
2018-02-18,W20180208,LI,A,N,NASSAU,52,"EMPLOYEE WALKING BACK TO TRUCK, ROLLED ANKLE ON SIDEWALK CURB, WHICH WAS COVERED IN SNOW, EMPLOYEE C_HECKED OUT OF SNOW OVERTIME._NA",0,0
2018-02-18,NT20180210,LI,D,N,NEW YORK,34,AIDED STATED WHILE WALKING THROUGH PENN STATION TRIPPED OVER ANOTHERS LUGGAGE AND INJURED KNEE. TRAN_SPORTED TO NYU HOSPITAL_NA,0,0
2018-02-20,PS20180202,LI,A,N,KINGS,38,EE CLAIMS THAT HE HURT HIS BACK WHILE PULLING GARBAGE._NA_NA,0,0
2018-02-20,W20180207,LI,A,N,NASSAU,58,CUT IN RH MIDDLE FINGER. JOE HIT HIS HAND WITH A SLEDGE HAMMER WHILE TRYING TO TAP ON A `PRETZEL`_NA_NA,0,0
2018-02-21,TP20180205,LI,A,N,NASSAU,38,EMPLOYEE WAS CHOCKING THE STORM DOORS ON HIS TRAINAND FELT PAIN IN HIS LOWER BACK. EMPLOYEE DID NOTT_AKE EXCEPTION TO EQUIPMENT. INJURY WAS NOT REPORTED UNTIL 2/22/18 AT 1:48PM._NA,0,0
2018-02-21,TP20180203,LI,A,N,KINGS,61,EMPLOYEE HIT HER RIGHT HAND ON THE GRAB IRON FOR THE SEAT DUE TO THE TRAIN SHIFTING._NA_NA,0,0
2018-02-21,P20180204,LI,C,N,SUFFOLK,99,AIDED PASSED OUT ON TRAIN. TRANSPORTED TO SOUTHSIDE HOSPITAL_NA_NA,0,0
2018-02-22,P20180207,LI,C,N,SUFFOLK,70,AIDED FAINTED ON TRAIN 2070 AND CUT HER FOREHEAD.TRANSPORTED TO PLAINVIEW HOSPITAL_NA_NA,0,0
2018-02-22,P20180205,LI,C,N,QUEENS,99,"AIDED HAVING SEIZURES ON TRAIN, JAMAICA STATION.WHEN CONSCIOUS APPEARED CONFUSED AND NON-ALERT.TRANS_PORTED TO JAMAICA HOSPITAL_NA",0,0
2018-02-22,P20180206,LI,C,N,NASSAU,70,AIDED STATES THAT HE ONLY REMEMBERS BEING ON GROUND AND THEN BEING LIFTED ONTO STRETCHER. CUTS TO HE_AD.TRANSPORTED TO ST JOSEPHS HOSPITAL_NA,0,0
2018-02-23,NT20180211,LI,D,N,NASSAU,70,AIDED FELL ON HICKSVILLE STATION PLATFORM RESULTING IN LACERATION TO HEAD. TRANSPORTED TO NASSAU MED_ICAL CENTER_NA,0,0
2018-02-23,TE20180203,LI,A,N,QUEENS,70,"EMPLOYEE WAS CLIMBING ONTO HER EQUIPMENT, AND WHENSHE GOT TO THE TOP, SHE SLIPPED AND FELL ONTO THE3_RD RAIL PROTECTION BOARD. EMPLOYEE CONTINUED WORKING AND EXPERIENCED BACK PAIN AS A RESULT. EMPLOYEE_TOOK NO EXCEPTIONS TO EQUIPMENT.",0,0
2018-02-27,TE20180204,LI,A,N,NASSAU,61,EMPLOYEE WAS CHANGING ENDS ON EQUIPMENT AND STRUCKHIS LEFT HAND ON A 3 SEATER WHEN HE WAS TALKING TO_A CUSTOMER._NA,0,0
2018-03-01,P20180315,LI,C,N,QUEENS,58,AIDED WAS STRUCK IN HEAD BY CAB DOOR THAT SWUNG OPENED WHILE TRAIN STOP ABRUPTLY._NA_NA,0,0
2018-03-02,TM20180301,LI,A,N,SUFFOLK,54,EMPLOYEE WAS RESPONDING TO A DOWNED TREE. WHEN HEARRIVED AT THE LOCATION HE HAD TO DECEND TO TRACKLE_VEL DOWN AN EMBANKMENT. EMPLOYEE SLID ON BALLASTAND HEARD A LOUD POP IN HIS LEFT LEG. HE INJUREDHIS_LEFT INNER KNEE AND LEFT HAMSTRING.,0,0
2018-03-02,P20180302,LI,C,N,QUEENS,58,AIDED STATED WHILE BOARDING TRAIN STRUCK BY DOOR CAUSING INJURIES TO KNEE AND ELBOW. TRANSPORTED TOW_INTHROP HOSPITAL_NA,0,0
2018-03-02,NT20180301,LI,D,N,NEW YORK,70,AIDED SLIPPED AND FELL DOWN TWO STEPS. 34ST/7AVE ENTRANCE. TRANSPORTED TO BELLEVUE HOSPITAL_NA_NA,0,0
2018-03-03,TS20180301,LI,E,Y,SUFFOLK,59,"DRIVER OF VEHICLE DROVE OFF THE ROAD, OVER GUARD RRAIL AND OFF EMBANKMENT APPROXIMATELY 50 FEET DOWN_ONTO THE LIRR TRACK. DRIVER WAS EJECTED UNKNOWN IFPRIOR TO TRAIN STRIKE._NA",40.712851,-73.300142
2018-03-03,NT20180302,LI,D,N,NEW YORK,34,INTOX AIDED LOST FOOTING ON ESCALATOR AND FELL CAUSING EYE LACERATION. TRANSPORTED TO MT. SINAI WEST_HOSPITAL_NA,0,0
2018-03-03,TS20180302,LI,E,Y,NASSAU,59,AIDED JUMPED OFF THE PLATFORM FOR TRACK 1 IN FRONTOF LEAD ENGINE AS IT WAS TRAVELED WEST THROUGH THE_STATION. AIDED DECLARED DEAD ON ARRIVAL._NA,40.753072,-73.587504
2018-03-05,P20180304,LI,C,N,QUEENS,99,AIDED HAVING SEIZURE ON BOARD TRAIN #1256. CAR#9829. TRANSPORTED TO NORTHWELL HEALTH/FOREST HILLS HO_SPITAL_NA,0,0
2018-03-05,TE20180301,LI,A,N,NEW YORK,38,EMPLOYEE WAS CLIMBING ONTO HIS EQUIPMENT IN WSSY AND FELT PAIN IN HIS LEFT HEEL/FOOT. EMPLOYEE REFUS_ED MEDICAL. WENT OFF INJURED THE NEXT DAY._NA,0,0
2018-03-05,E20180305,LI,A,N,QUEENS,99,"FROM DUST AT HIBAY AREA EE GOT SINUS INFECTION, RED/ITCHY EYES, FACE SWELLING._NA_NA",0,0
2018-03-05,P20180303,LI,C,N,NASSAU,99,AIDED PASSED OUT PRIOR TO ARRIVING TO STATION.WASCONSCIOUS AT THE TIME OF ARRIVAL._NA_NA,0,0
2018-03-05,TP20180301,LI,A,N,NASSAU,70,"EMPLOYEE WAS WALKING ON YELLOW GRATING EAST OF GLEN COVE STATION WHILE FLAGGING. EMPLOYEE THOUGHT HE_HEARD A TRAIN SO HE PICKED UP HIS PACE AND THEN FELL. HE INJURED HIS LOWER BACK, LEFT KNEE AND RIGHT_HAND AS A RESULT.",0,0
2018-03-06,E20180301,LI,A,N,QUEENS,99,"WHILE OPERATING A FLOOR SCRUBBING ROTATION MACHINE, MACHINE SUDDENLY JERKED LEFT. EMPLOYEE FEELS PAI_N IN LEFT SHOULDER._NA",0,0
2018-03-07,NT20180303,LI,D,N,SUFFOLK,52,AIDED FELL ON STAIRS. TRANSPORTED TO SOUTHSIDE HOSPITAL_NA_NA,0,0
2018-03-07,NT20180304,LI,D,N,QUEENS,52,AIDED FELL ON STAIRS WHEN TRANSFERRING TO CONNECTION. TRANSPORTED TO JAMAICA HOSPITAL_NA_NA,0,0
2018-03-08,P20180306,LI,C,N,NEW YORK,34,AIDED ALLEGEDLY PASSED OUT ON TRAIN. DOESNT REMEMBER FAINTING BUT REMEMBERS PASSENGERS ASKING IF SHE_WAS OKAY. TRANSPORTED TO HEALTHPLEX HOSPITAL_NA,0,0
2018-03-09,NT20180305,LI,D,N,NEW YORK,34,AIDED FELL DOWN ESCALATOR MAIN GATE AREA PENN STATION. TRANSPORTED TO NYU HOSPITAL_NA_NA,0,0
2018-03-09,E20180302,LI,A,N,QUEENS,70,EE REPORTED THAT HE SLIPPED WHILE WALKING DOWN THESTAIRS ON EAST OF 5 TRACK PIT AND LANDED ON HIS BA_CKSIDE. HE ALSO REPORTED PAIN IN HIS LOWER BACK AND LEFT LEG._NA,0,0
2018-03-10,NT20180306,LI,D,N,NEW YORK,70,AIDED SLIPPED AND FELL DOWN STAIRS TO TRACK#16 CAUSING BACK PAIN. TRANSPORTED TO NYU HOSPITAL_NA_NA,0,0
2018-03-11,PS20180302,LI,A,N,NASSAU,58,"TIGHT LOWER BACK, LEFT SIDE DUE TO BEING STRUCK BYMTA PD VEHICLE BACKING UP._NA_NA",0,0
2018-03-12,NT20180307,LI,D,N,NASSAU,70,INTOX AIDED FELL AT BETHPAGE STATION.TRANSPORTED TO ST. JOSEPH HOSPITAL_NA_NA,0,0
2018-03-12,W20180301,LI,A,N,SUFFOLK,34,EMPLOYEE GOT OUT OF VEHICLE 126B AND FELT A PULL ON HIS RIGHT LEG (HIP AREA)AS HE LANDED ON THE GROU_ND_NA,0,0
2018-03-13,E20180304,LI,A,N,QUEENS,99,EMPLOYEE WAS DOING GROUP PI AND THOUGHT HE JUSTHAD DUST IN HIS EYE AND DIDNT REPORT IT AT THE TIME._AFTER GOING HOME HIS EYE STARTED TO BOTHER HIM. HE WENT TO THE EYE DOCTOR THE FOLLOWING DAY TOREMOVE_A PIECE OF METAL FROM HIS LEFT EYE.,0,0
2018-03-14,W20180302,LI,A,N,SUFFOLK,70,"INSPECTING WEST END PEDESTRIAN BRIDGE AT COLD SPRING HARBOR, WALK AROUND TO THE END OF THE PLATFORMI_N THE PARKING LOT, STEPPED OVER THE GUARD RAIL ATTHE FAR WEST END, SLIPPED DOWN SLOPE AND TRIED TOBR_EAK FALL WITH RIGHT HAND. SWELLING AT WRIST.",0,0
2018-03-15,P20180308,LI,C,N,QUEENS,99,"AIDED FAINTED ON TRAIN #865,TRACK#2,JAMAICA STATION. TRANSPORTED TO SOUTH NASSAU HOSPITAL_NA_NA",0,0
2018-03-16,P20180310,LI,C,N,NEW YORK,70,PASSENGER FELL ON GAP BOARDING TRAIN._NA_NA,0,0
2018-03-16,NT20180311,LI,D,N,NEW YORK,70,CUT ON RIGHT RING FINGER ON THE ELEVATOR TO 21 TRACK PENN STATION_NA_NA,0,0
2018-03-16,NT20180316,LI,D,N,SUFFOLK,51,AIDED FELL ON PLATFORM._NA_NA,0,0
2018-03-20,W20180303,LI,A,N,QUEENS,99,EMPLOYEE CUT MIDDLE FINGER WHILE MOVING BALLAST HEATER AT RICHMOND HILL ONTO THE BOOM TRUCK_NA_NA,0,0
